104.210.140.132 - - [05/Apr/2026:00:00:47 +0000] "GET /robots.txt HTTP/1.1" 301 397 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; +https://openai.com/searchbot"
213.93.180.9 - - [05/Apr/2026:00:40:10 +0000] "GET /fotos/Belinda.png HTTP/2.0" 200 82305 "https://boernel.nl/index.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1"
213.93.180.9 - - [05/Apr/2026:00:40:10 +0000] "GET /fotos/Bernard.png HTTP/2.0" 304 108 "https://boernel.nl/index.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1"
213.93.180.9 - - [05/Apr/2026:00:40:10 +0000] "GET /fotos/Stefan.png HTTP/2.0" 304 107 "https://boernel.nl/index.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1"
213.93.180.9 - - [05/Apr/2026:00:40:10 +0000] "GET /fotos/Lammert.png HTTP/2.0" 304 107 "https://boernel.nl/index.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1"
213.93.180.9 - - [05/Apr/2026:00:40:10 +0000] "GET /fotos/Lars.png HTTP/2.0" 304 108 "https://boernel.nl/index.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1"
213.93.180.9 - - [05/Apr/2026:00:40:10 +0000] "GET /fotos/Floris.png HTTP/2.0" 304 108 "https://boernel.nl/index.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1"
213.93.180.9 - - [05/Apr/2026:00:40:10 +0000] "GET /fotos/Laurens.png HTTP/2.0" 304 107 "https://boernel.nl/index.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1"
213.93.180.9 - - [05/Apr/2026:00:40:10 +0000] "GET /fotos/Ralf.png HTTP/2.0" 304 108 "https://boernel.nl/index.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1"
105.158.194.46 - - [05/Apr/2026:02:36:10 +0000] "POST /xmlrpc.php HTTP/1.1" 415 333 "-" "Mozilla/5.0 (Windows NT 6.2; x64) AppleWebKit/537.36 (KHTML, like Gecko) Opera/66.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:47 +0000] "GET /admin.php HTTP/1.1" 200 12008 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:47 +0000] "GET /about.php HTTP/1.1" 200 12008 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:47 +0000] "GET /cgi-bin/ HTTP/1.1" 200 12009 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:47 +0000] "GET /wp-content/themes/ HTTP/1.1" 200 12021 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:48 +0000] "GET /adminfuns.php HTTP/1.1" 200 12001 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:48 +0000] "GET /edit.php HTTP/1.1" 200 11996 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:48 +0000] "GET /.well-known/logs233/index.php HTTP/1.1" 200 12021 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:48 +0000] "GET /wp-admin/maint/ HTTP/1.1" 200 12007 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:48 +0000] "GET /wp-admin/ HTTP/1.1" 200 11999 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:49 +0000] "GET /lite.php HTTP/1.1" 200 11977 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:49 +0000] "GET /wp-admin/js/ HTTP/1.1" 200 11985 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:49 +0000] "GET /wp-includes/ HTTP/1.1" 200 11983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:49 +0000] "GET /wp-content/uploads/ HTTP/1.1" 200 11992 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:49 +0000] "GET /wp-admin/js/widgets/ HTTP/1.1" 200 11995 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
20.205.1.146 - - [05/Apr/2026:03:25:50 +0000] "GET /wp-content/themes/admin.php HTTP/1.1" 200 11975 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
